单位编码,单位名称,医院项目编码,医院项目名称,国标编码,国标名称,备注
,南京江宁卫生信息平台,E21.402,甲状旁腺囊肿,E21.401,甲状旁腺囊肿,
,南京江宁卫生信息平台,E21.401,甲状旁腺出血,E21.400,甲状旁腺其他特指的疾患,
,南京江宁卫生信息平台,E20.902,甲状旁腺性手足搐搦,E20.901,甲状旁腺性手足搐搦,
,南京江宁卫生信息平台,E21.001,甲状旁腺增生,E21.001,甲状旁腺增生,
,南京江宁卫生信息平台,D34.X01,甲状舌管良性肿瘤,D34.x01,甲状舌管良性肿瘤,
,南京江宁卫生信息平台,Q89.201,甲状舌管瘘,Q89.206,甲状舌管瘘,
,南京江宁卫生信息平台,Q89.202,甲状舌管囊肿,Q89.202,甲状舌管囊肿,
,南京江宁卫生信息平台,Q89.252,甲状舌管囊肿继发感染,Q89.202,甲状舌管囊肿,
,南京江宁卫生信息平台,E07.052,甲状腺Ｃ细胞增生,E07.001,甲状腺C细胞增生,
,南京江宁卫生信息平台,D44.051,甲状腺动态未定的肿瘤 (M80000/1),D44.000,甲状腺动态未定或动态未知的肿瘤,
,南京江宁卫生信息平台,E05.901,甲状腺机能亢进,E05.900,甲状腺毒症,
,南京江宁卫生信息平台,E05.903+,甲状腺机能亢进性肝病,E05.900,甲状腺毒症,
,南京江宁卫生信息平台,E05.151,甲状腺毒症，伴有单甲状腺结节,E05.100,甲状腺毒症伴有毒性单个甲状腺结节,
,南京江宁卫生信息平台,E05.152,甲状腺毒症，伴有(弥漫性)毒性单结节性甲状腺肿,E05.100,甲状腺毒症伴有毒性单个甲状腺结节,
,南京江宁卫生信息平台,E05.253,腺瘤性甲状腺肿,E05.200,甲状腺毒症伴有毒性多结节性甲状腺肿,
,南京江宁卫生信息平台,E05.257,甲状腺毒症，伴有毒性多结节性甲状腺肿,E05.200,甲状腺毒症伴有毒性多结节性甲状腺肿,
,南京江宁卫生信息平台,E05.052,三碘甲状腺原氨酸型甲状腺机能亢进[Ｔ3型甲亢],E05.000,甲状腺毒症伴有弥漫性甲状腺肿,
,南京江宁卫生信息平台,E05.055,甲状腺肿伴甲状腺机能亢进,E05.000,甲状腺毒症伴有弥漫性甲状腺肿,
,南京江宁卫生信息平台,C73.X01,复发性甲状腺癌,C73.x00,甲状腺恶性肿瘤,
,南京江宁卫生信息平台,C73.X02,甲状腺恶性肿瘤,C73.x00,甲状腺恶性肿瘤,
,南京江宁卫生信息平台,C73.X03,甲状腺良性肿瘤癌变,C73.x00,甲状腺恶性肿瘤,
,南京江宁卫生信息平台,C73.X04,滤泡变异性乳头状腺癌 (M83400/3),C73.x00,甲状腺恶性肿瘤,
,南京江宁卫生信息平台,C73.X05,滤泡性腺癌(M83300/3),C73.x00,甲状腺恶性肿瘤,
,南京江宁卫生信息平台,Z85.852,甲状腺癌切除个人史,Z85.804,甲状腺恶性肿瘤个人史,
,南京江宁卫生信息平台,E03.101,先天性甲状腺机能不全,E03.101,甲状腺发育不良,
,南京江宁卫生信息平台,E03.155,甲状腺发育不全(伴有粘液性水肿),E03.101,甲状腺发育不良,
,南京江宁卫生信息平台,E07.802,甲状腺钙化,E07.802,甲状腺钙化,
,南京江宁卫生信息平台,R94.652,甲状腺功能检查异常,R94.600,甲状腺功能检查的异常结果,
,南京江宁卫生信息平台,E03.903+,甲状腺机能减退性肌病,E03.902？,甲状腺功能减退性肌病,
,南京江宁卫生信息平台,E03.901,甲状腺机能减退,E03.900,甲状腺功能减退症,
,南京江宁卫生信息平台,E03.951,甲状腺机能减退性肥胖,E03.900,甲状腺功能减退症,
,南京江宁卫生信息平台,E05.902+,肌无力综合征伴甲状腺机能亢进,E05.904？,甲状腺功能亢进性肌病,
,南京江宁卫生信息平台,E05.951+,甲状腺毒症肌无力综合征,E05.904？,甲状腺功能亢进性肌病,
,南京江宁卫生信息平台,E05.905+,甲状腺机能亢进性肌病,E05.904？,甲状腺功能亢进性肌病,
,南京江宁卫生信息平台,E05.904+,甲状腺机能亢进性心脏病,E05.903？,甲状腺功能亢进性心脏病,
,南京江宁卫生信息平台,E05.004+,甲状腺机能亢进性突眼,E05.002？,甲状腺功能障碍性突眼,
,南京江宁卫生信息平台,E05.054,突眼性甲状腺肿[弗拉亚尼病],E05.002？,甲状腺功能障碍性突眼,
,南京江宁卫生信息平台,D09.352,其他内分泌腺的原位癌,D09.300,甲状腺和其他和未特指内分泌腺原位癌,
,南京江宁卫生信息平台,E07.803,甲状腺激素不敏感综合征(T4抵抗综合征),E07.801,甲状腺激素抵抗综合征,
,南京江宁卫生信息平台,T38.151,甲状腺激素类及其代用品中毒,T38.100,甲状腺激素类及其代用品中毒,
,南京江宁卫生信息平台,E07.801,甲状腺出血,E07.800,甲状腺疾患，其他特指的,
,南京江宁卫生信息平台,E07.851,病态甲状腺机能正常综合征,E07.800,甲状腺疾患，其他特指的,
,南京江宁卫生信息平台,E07.852,甲状腺梗塞,E07.800,甲状腺疾患，其他特指的,
,南京江宁卫生信息平台,E07.853,甲状腺结合球蛋白异常,E07.800,甲状腺疾患，其他特指的,
,南京江宁卫生信息平台,C79.808,甲状腺继发性恶性肿瘤,C79.805,甲状腺继发恶性肿瘤,
,南京江宁卫生信息平台,A18.811+,甲状腺结核,A18.806？,甲状腺结核,
,南京江宁卫生信息平台,E04.103,甲状腺结节,E04.101,甲状腺结节,
,南京江宁卫生信息平台,D34.X02,甲状腺良性肿瘤,D34.x00,甲状腺良性肿瘤,
,南京江宁卫生信息平台,D34.X03,胸骨后甲状腺良性肿瘤,D34.x00,甲状腺良性肿瘤,
,南京江宁卫生信息平台,D34.X04,许特耳氏细胞腺瘤 (M82900/0),D34.x00,甲状腺良性肿瘤,
,南京江宁卫生信息平台,D34.X05,异位甲状腺良性肿瘤,D34.x00,甲状腺良性肿瘤,
,南京江宁卫生信息平台,D34.X51,甲状腺腺瘤,D34.x00,甲状腺良性肿瘤,
,南京江宁卫生信息平台,E04.101,甲状腺囊肿,E04.102,甲状腺囊肿,
,南京江宁卫生信息平台,E06.051,甲状腺脓肿,E06.002,甲状腺脓肿,
,南京江宁卫生信息平台,S13.551,甲状腺区扭伤和劳损,S13.500,甲状腺区扭伤和劳损,
,南京江宁卫生信息平台,S13.552,环杓软骨的(关节)(韧带)的扭伤和劳损,S13.500,甲状腺区扭伤和劳损,
,南京江宁卫生信息平台,S13.553,环甲软骨的(关节)(韧带)的扭伤和劳损,S13.500,甲状腺区扭伤和劳损,
,南京江宁卫生信息平台,S13.554,甲状软骨扭伤和劳损,S13.500,甲状腺区扭伤和劳损,
,南京江宁卫生信息平台,E05.501,甲状腺危象,E05.500,甲状腺危象,
,南京江宁卫生信息平台,E05.551,甲状腺机能亢进危象,E05.500,甲状腺危象,
,南京江宁卫生信息平台,E03.401,甲状腺萎缩 (后天性),E03.400,甲状腺萎缩(后天性),
,南京江宁卫生信息平台,E03.451,甲状腺萎缩伴粘液水肿[格尔病],E03.400,甲状腺萎缩(后天性),
,南京江宁卫生信息平台,E06.901,甲状腺炎 NOS,E06.900,甲状腺炎,
,南京江宁卫生信息平台,D09.351,甲状腺原位癌,D09.301,甲状腺原位癌,
,南京江宁卫生信息平台,E04.252,囊性甲状腺肿,E04.201,甲状腺肿伴囊性变,
,南京江宁卫生信息平台,E07.804,甲状腺肿物,E07.901,甲状腺肿物,
,南京江宁卫生信息平台,A07.101,贾第虫病(肠贾第虫)[兰伯鞭毛虫病],A07.100,贾第虫病\[兰伯鞭毛虫病\],
,南京江宁卫生信息平台,A07.151,肠梨形鞭毛虫病[蓝氏贾第鞭毛虫病],A07.100,贾第虫病\[兰伯鞭毛虫病\],
,南京江宁卫生信息平台,J15.101,假单胞菌性肺炎(绿脓杆菌性肺炎),J15.100,假单胞菌性肺炎,
,南京江宁卫生信息平台,P23.551,假单胞菌引起的先天性肺炎,P23.500,假单胞菌性先天性肺炎,
,南京江宁卫生信息平台,G71.002,假肥大性肌营养不良,G71.003,假肥大型肌营养不良症,
,南京江宁卫生信息平台,G71.051,假性肥大性肌萎缩[迪谢纳－格里辛格病],G71.003,假肥大型肌营养不良症,
,南京江宁卫生信息平台,L83.X02,假黑棘皮病,L83.x02,假黑棘皮病,
,南京江宁卫生信息平台,Q56.351,假两性同体 NOS,Q56.300,假两性畸形,
,南京江宁卫生信息平台,O47.901,先兆临产,O47.900,假临产,
,南京江宁卫生信息平台,M72.495,增殖性皮下假肉瘤性纤维瘤病,M72.400,假肉瘤性纤维瘤病,
,南京江宁卫生信息平台,C32.156,假声带恶性肿瘤,C32.103,假声带恶性肿瘤,
,南京江宁卫生信息平台,T85.751,其他内部装置、植入(植)物和移植物引起的感染和炎症性反应,T85.700,假体装置、植入物和移植物引起的感染和炎症性反应，其他内部的,
,南京江宁卫生信息平台,L66.051,假斑秃,L66.000,假性斑秃,
,南京江宁卫生信息平台,E27.401,假性低醛固酮血症,E87.501,假性低醛固酮血症,
,南京江宁卫生信息平台,I72.804,锁骨上假性动脉瘤,I72.901,假性动脉瘤,
,南京江宁卫生信息平台,E20.101,假假性甲状旁腺功能亢进,E20.100,假性甲状旁腺功能减退症,
,南京江宁卫生信息平台,E20.102,假性甲状旁腺机能减退,E20.100,假性甲状旁腺功能减退症,
,南京江宁卫生信息平台,M91.355,假性髋关节痛,M91.300,假性髋关节痛,
,南京江宁卫生信息平台,R29.101,假性脑膜炎,R29.100,假性脑膜炎,
,南京江宁卫生信息平台,G12.203,假性球麻痹,G12.208,假性球麻痹,
,南京江宁卫生信息平台,G12.251,上运动神经元性延髓麻痹[假性延髓麻痹],G12.208,假性球麻痹,
,南京江宁卫生信息平台,H47.301,假性(视神经)乳头水肿,H47.303,假性视盘水肿,
,南京江宁卫生信息平台,E25.801,假性性早熟,E25.801,假性性早熟,
,南京江宁卫生信息平台,H11.801,假性翼状胬肉,H11.802,假性翼状胬肉,
,南京江宁卫生信息平台,Z46.351,假牙装置的安装和调整,Z46.300,假牙装置的安装和调整,
,南京江宁卫生信息平台,G93.403,间脑病变,G93.901,间脑病变,
,南京江宁卫生信息平台,C45.951,恶性间皮瘤 NOS (M90500/3),C45.900,间皮瘤,
,南京江宁卫生信息平台,C45.751,其他部位的恶性间皮瘤 (M90500/3),C45.700,间皮瘤，其他部位的,
,南京江宁卫生信息平台,D19.951,良性间皮瘤 NOS (M90520/0),D19.900,间皮组织良性肿瘤,
,南京江宁卫生信息平台,D19.751,其他部位的良性间皮瘤 (M90520/0),D19.700,间皮组织良性肿瘤，其他部位的,
,南京江宁卫生信息平台,B51.051+,间日疟原虫疟疾伴脾破裂,B51.000,间日疟原虫疟疾伴有脾破裂,
,南京江宁卫生信息平台,B51.851,间日疟原虫疟疾伴其他并发症,B51.800,间日疟原虫疟疾伴有其他并发症,
,南京江宁卫生信息平台,B51.901,间日疟 NOS,B51.900,间日疟原虫疟疾不伴有并发症,
,南京江宁卫生信息平台,H40.251,间歇性闭角性青光眼,H40.204,间歇性闭角型青光眼,
,南京江宁卫生信息平台,I73.902,间歇性跛行,I73.901,间歇性跛行,
,南京江宁卫生信息平台,M12.495,间歇性关节积液(水),M12.400,间歇性关节积水,
,南京江宁卫生信息平台,H50.351,间歇性(交替性)(单眼性)内斜视,H50.302,间歇性内斜视,
,南京江宁卫生信息平台,H50.301,间歇性外斜视,H50.301,间歇性外斜视,
,南京江宁卫生信息平台,H50.302,交替性间歇性外斜视,H50.301,间歇性外斜视,
,南京江宁卫生信息平台,J84.901,间质性肺炎,J84.900,间质性肺病,
,南京江宁卫生信息平台,J84.107,弥漫性肺间质纤维化,J84.100,间质性肺病伴有纤维化，其他的,
,南京江宁卫生信息平台,J84.110,致纤维化肺泡炎,J84.100,间质性肺病伴有纤维化，其他的,
,南京江宁卫生信息平台,J84.152,特发性肺棕色硬结症,J84.100,间质性肺病伴有纤维化，其他的,
,南京江宁卫生信息平台,J98.251,间质性肺气肿,J98.200,间质性肺气肿,
,南京江宁卫生信息平台,M60.191,间质性肌炎,M60.100,间质性肌炎,
,南京江宁卫生信息平台,N30.101,慢性间质性膀胱炎,N30.100,间质性膀胱炎(慢性),
,南京江宁卫生信息平台,N30.151,洪纳溃疡[全膀胱壁纤维变性],N30.100,间质性膀胱炎(慢性),
,南京江宁卫生信息平台,N12.X01,间质性肾炎,N12.x01,间质性肾炎,
,南京江宁卫生信息平台,J84.106,间质性纤维化性肺泡炎,J84.105,间质性纤维化性肺泡炎,
,南京江宁卫生信息平台,I51.451,间质性心肌炎,I51.404,间质性心肌炎,
,南京江宁卫生信息平台,C43.651,肩恶性黑色素瘤 (M87200/3),C43.601,肩部恶性黑色素瘤,
,南京江宁卫生信息平台,C44.651,肩皮肤恶性肿瘤,C44.601,肩部皮肤恶性肿瘤,
,南京江宁卫生信息平台,C47.151,肩恶性周围神经肿瘤,C47.101,肩部神经恶性肿瘤,
,南京江宁卫生信息平台,L03.153,肩蜂窝织炎,L03.104,肩蜂窝织炎,
,南京江宁卫生信息平台,M75.315,肩钙化性肌腱炎,M75.300,肩钙化性肌腱炎,
,南京江宁卫生信息平台,S48.051,肩关节处创伤切断,S48.000,肩关节处创伤性切断,
,南京江宁卫生信息平台,M93.207,分离性肩骨软骨炎,M93.201,肩关节分离性骨软骨病,
,南京江宁卫生信息平台,A18.008+,肩关节结核,A18.027？,肩关节结核,
,南京江宁卫生信息平台,S43.401,肩关节扭伤,S43.400,肩关节扭伤和劳损,
,南京江宁卫生信息平台,S43.451,喙肱韧带扭伤和劳损,S43.400,肩关节扭伤和劳损,
,南京江宁卫生信息平台,M25.511,肩关节痛,M25.501,肩关节痛,
,南京江宁卫生信息平台,S43.001,肩关节脱位,S43.000,肩关节脱位,
,南京江宁卫生信息平台,S43.051,肩关节哆开性脱位,S43.000,肩关节脱位,
,南京江宁卫生信息平台,S40.001,肩部挫伤,S40.000,肩和上臂挫伤,
,南京江宁卫生信息平台,S40.951,肩部擦伤伴感染,S40.900,肩和上臂的浅表损伤,
,南京江宁卫生信息平台,S40.952,肩部皮肤擦伤,S40.900,肩和上臂的浅表损伤,
,南京江宁卫生信息平台,S41.7051,开放性肩和上臂多处开放性伤口,S41.700,肩和上臂多处开放性伤口,
,南京江宁卫生信息平台,S40.751,肩多处浅表损伤,S40.700,肩和上臂多处浅表损伤,
,南京江宁卫生信息平台,S40.752,上臂多处浅表损伤,S40.700,肩和上臂多处浅表损伤,
,南京江宁卫生信息平台,S49.751,肩和上臂多处损伤,S49.700,肩和上臂多处损伤,
,南京江宁卫生信息平台,S42.8051,肩和上臂其他部位的骨折,S42.800,肩和上臂其他部位的骨折,
,南京江宁卫生信息平台,S40.851,肩其他浅表损伤,S40.800,肩和上臂其他浅表损伤,
,南京江宁卫生信息平台,S40.852,上臂其他浅表损伤,S40.800,肩和上臂其他浅表损伤,
,南京江宁卫生信息平台,S49.851,肩和上臂其他特指的损伤,S49.800,肩和上臂其他特指的损伤,
,南京江宁卫生信息平台,S49.951,肩和上臂损伤 NOS,S49.900,肩和上臂损伤,
,南京江宁卫生信息平台,T22.451,肩和上肢腐蚀伤 NOS，除外腕和手,T22.400,肩和上肢的腐蚀伤，除外腕和手,
,南京江宁卫生信息平台,T22.001,上肢烧伤 NOS，除外腕和手,T22.000,肩和上肢的烧伤，除外腕和手,
,南京江宁卫生信息平台,T22.051,肩和上肢烧伤 NOS，除外腕和手,T22.000,肩和上肢的烧伤，除外腕和手,
,南京江宁卫生信息平台,T22.651,肩和上肢Ⅱ度腐蚀伤，除腕和手,T22.600,肩和上肢二度腐蚀伤，除外腕和手,
,南京江宁卫生信息平台,T22.251,肩和上肢Ⅱ度烧伤，除外腕和手上肢Ⅱ度烧伤,T22.200,肩和上肢二度烧伤，除外腕和手,
,南京江宁卫生信息平台,T22.751,肩和上肢Ⅲ度腐蚀伤，除腕和手,T22.700,肩和上肢三度腐蚀伤，除外腕和手,
,南京江宁卫生信息平台,T22.351,肩和上肢Ⅲ度烧伤，除外腕和手上肢Ⅲ度烧伤,T22.300,肩和上肢三度烧伤，除外腕和手,
,南京江宁卫生信息平台,T22.551,肩和上肢Ⅰ度腐蚀伤，除腕和手,T22.500,肩和上肢一度腐蚀伤，除外腕和手,
,南京江宁卫生信息平台,T22.151,肩和上肢Ⅰ度烧伤，除外腕和手上肢Ⅰ度烧伤,T22.100,肩和上肢一度烧伤，除外腕和手,
,南京江宁卫生信息平台,D22.652,肩黑色素细胞痣 (M87200/0),D22.601,肩黑素细胞痣,
,南京江宁卫生信息平台,M75.515,肩粘液囊炎,M75.500,肩滑囊炎,
,南京江宁卫生信息平台,S46.051,肩回旋套肌腱损伤,S46.000,肩回旋套肌腱损伤,
,南京江宁卫生信息平台,S42.9051,肩骨折,S42.900,肩胛带的骨折,
,南京江宁卫生信息平台,S41.8051,肩胛带其他和未特指部位的开放性伤口,S41.800,肩胛带其他和未特指部位的开放性伤口,
,南京江宁卫生信息平台,S41.8052,腋窝开放性伤口,S41.800,肩胛带其他和未特指部位的开放性伤口,
,南京江宁卫生信息平台,S43.751,肩胛带扭伤和劳损,S43.700,肩胛带其他和未特指部位的扭伤和劳损,
,南京江宁卫生信息平台,S43.351,肩胛带脱位,S43.302,肩胛带脱位,
,南京江宁卫生信息平台,C40.002,肩胛骨恶性肿瘤,C40.001,肩胛骨恶性肿瘤,
,南京江宁卫生信息平台,S42.101,肩胛骨骨折,S42.100,肩胛骨骨折,
,南京江宁卫生信息平台,S42.1051,肩峰突骨折,S42.100,肩胛骨骨折,
,南京江宁卫生信息平台,S42.1052,肩板骨折,S42.100,肩胛骨骨折,
,南京江宁卫生信息平台,S52.0051,喙突骨折,S42.100,肩胛骨骨折,
,南京江宁卫生信息平台,D16.002,肩胛骨良性肿瘤,D16.000,肩胛骨和上肢长骨良性肿瘤,
,南京江宁卫生信息平台,D21.007,锁骨上结缔组织良性肿瘤,D21.101,肩结缔组织良性肿瘤,
,南京江宁卫生信息平台,S41.001,肩部开放性伤口,S41.000,肩开放性伤口,
,南京江宁卫生信息平台,S41.0051,肩部撕裂伤,S41.000,肩开放性伤口,
,南京江宁卫生信息平台,S41.0052,肩开放性外伤伴异物,S41.000,肩开放性伤口,
,南京江宁卫生信息平台,D23.651,肩皮肤良性肿瘤,D23.601,肩皮肤良性肿瘤,
,南京江宁卫生信息平台,D04.652,肩皮肤原位癌,D04.601,肩皮肤原位癌,
,南京江宁卫生信息平台,M89.011,肩手综合征,M89.001,肩手综合征,
,南京江宁卫生信息平台,M75.915,肩损害 NOS,M75.900,肩损害,
,南京江宁卫生信息平台,M75.815,其他肩损害,M75.800,肩损害，其他的,
,南京江宁卫生信息平台,S43.551,肩锁关节损伤,S43.500,肩锁关节扭伤和劳损,
,南京江宁卫生信息平台,S43.151,肩锁关节脱位,S43.100,肩锁关节脱位,
,南京江宁卫生信息平台,O66.001,肩位难产,O66.001,肩位难产,
,南京江宁卫生信息平台,O64.451,肩先露(横位)引起的梗阻性分娩,O64.400,肩先露引起的梗阻性分娩,
,南京江宁卫生信息平台,D03.651,肩原位黑(色素)瘤 (M87200/2),D03.601,肩原位黑色素瘤,
,南京江宁卫生信息平台,M75.011,肩关节周围炎,M75.001,肩周炎,
,南京江宁卫生信息平台,M75.015,粘连性肩周炎,M75.001,肩周炎,
,南京江宁卫生信息平台,M75.415,肩碰撞综合征,M75.400,肩撞击综合征,
,南京江宁卫生信息平台,A04.701,难辨梭状芽胞杆菌肠炎,A04.700,艰难梭状芽孢杆菌性小肠结肠炎,
,南京江宁卫生信息平台,A04.751,难辨梭状芽胞杆菌性小肠结肠炎,A04.700,艰难梭状芽孢杆菌性小肠结肠炎,
,南京江宁卫生信息平台,A04.809,难辨芽胞杆菌肠炎,A04.700,艰难梭状芽孢杆菌性小肠结肠炎,
,南京江宁卫生信息平台,C44.101,睑板腺[迈博腺]恶性肿瘤,C44.102,睑板腺恶性肿瘤,
,南京江宁卫生信息平台,H00.101,睑板腺囊肿[霰粒肿],H00.100,睑板腺囊肿,
,南京江宁卫生信息平台,T26.551,睑和眼周区腐蚀伤,T26.500,睑和眼周区腐蚀伤,
,南京江宁卫生信息平台,H02.601,眼睑黄斑瘤,H02.600,睑黄斑瘤,
,南京江宁卫生信息平台,C49.051,睑结缔组织恶性肿瘤,C49.003,睑结缔组织恶性肿瘤,
,南京江宁卫生信息平台,G24.501,眼睑痉挛,G24.500,睑痉挛,
,南京江宁卫生信息平台,H11.102,睑裂斑,H11.102,睑裂斑,
,南京江宁卫生信息平台,H02.503,睑裂狭小,H02.501,睑裂狭小,
,南京江宁卫生信息平台,H02.003,眼睑内翻,H02.003,睑内翻,
,南京江宁卫生信息平台,H02.051,痉挛性睑内翻,H02.003,睑内翻,
,南京江宁卫生信息平台,H02.052,瘢痕性睑内翻,H02.003,睑内翻,
,南京江宁卫生信息平台,H11.201,睑球粘连,H11.201,睑球粘连,
,南京江宁卫生信息平台,H02.101,睑外翻,H02.100,睑外翻,
,南京江宁卫生信息平台,H00.002,睑腺炎[麦粒肿；迈博姆；察司],H00.001,睑腺炎,
,南京江宁卫生信息平台,H00.001,睑板腺炎,H00.000,睑腺炎和眼睑的其他深部炎症,
,南京江宁卫生信息平台,H00.051,眼睑疖肿,H00.000,睑腺炎和眼睑的其他深部炎症,
,南京江宁卫生信息平台,H10.551,睑结膜炎,H10.500,睑缘结膜炎,
,南京江宁卫生信息平台,H01.001,睑(缘)炎,H01.000,睑缘炎,
,南京江宁卫生信息平台,H01.002,新生儿睑缘炎,H01.000,睑缘炎,
,南京江宁卫生信息平台,H01.051,溃疡性睑(缘)炎,H01.000,睑缘炎,
,南京江宁卫生信息平台,H01.052,鳞状性睑缘炎,H01.000,睑缘炎,
,南京江宁卫生信息平台,H02.504,睑缘粘连,H02.502,睑缘粘连,
,南京江宁卫生信息平台,E87.304,碱中毒,E87.300,碱中毒,
,南京江宁卫生信息平台,E87.351,高碳酸血症后碱中毒,E87.300,碱中毒,
,南京江宁卫生信息平台,Z00.001,健康查体,Z00.001,健康查体,
,南京江宁卫生信息平台,M67.106,胫前肌(腱)短,M67.100,腱(鞘)的其他挛缩,
,南京江宁卫生信息平台,M67.401,腱鞘囊肿,M67.400,腱鞘囊肿,
,南京江宁卫生信息平台,M65.095,肌腱脓肿,M65.000,腱鞘脓肿,
,南京江宁卫生信息平台,M65.992,腱鞘炎,M65.910,腱鞘炎,
,南京江宁卫生信息平台,I51.101,心腱索断裂,I51.100,腱索断裂，不可归类在他处者,
,南京江宁卫生信息平台,I23.451,急性心肌梗死后的近期并发症腱索断裂,I23.400,腱索断裂作为急性心肌梗死后的近期并发症,
,南京江宁卫生信息平台,B66.501,姜片虫病,B66.500,姜片虫病,
,南京江宁卫生信息平台,B66.551,胆道姜片虫病,B66.500,姜片虫病,
,南京江宁卫生信息平台,C90.101,浆细胞性白血病 (M98300/3),C90.100,浆细胞白血病,
,南京江宁卫生信息平台,C90.201,浆细胞瘤 NOS (M97310/3),C90.201,浆细胞瘤,
,南京江宁卫生信息平台,C90.252,恶性浆细胞瘤 (M97310/3),C90.201,浆细胞瘤,
,南京江宁卫生信息平台,C90.253,浆细胞肉瘤 (M97310/3),C90.203,浆细胞肉瘤,
,南京江宁卫生信息平台,C90.002,浆细胞性骨髓瘤 (M97320/3),C90.002,浆细胞性骨髓瘤,
,南京江宁卫生信息平台,N61.X02,浆细胞性乳腺炎,N61.x06,浆细胞性乳腺炎,
,南京江宁卫生信息平台,D72.804,浆细胞增多症,D72.801,浆细胞增多症,
,南京江宁卫生信息平台,H33.202,视网膜脱离 NOS,H33.200,浆液性视网膜脱离,
,南京江宁卫生信息平台,H33.203,浆液性视网膜脱离,H33.200,浆液性视网膜脱离,
,南京江宁卫生信息平台,H33.251,视网膜脱离不伴有视网膜断裂,H33.200,浆液性视网膜脱离,
,南京江宁卫生信息平台,H65.952,浆液性中耳炎,H65.901,浆液性中耳炎,
,南京江宁卫生信息平台,M20.275,僵拇(足),M20.200,僵,
,南京江宁卫生信息平台,G25.851,僵人综合征,G25.802,僵人综合征,
,南京江宁卫生信息平台,E07.001,高降钙素血症,E07.000,降钙素分泌过多,
,南京江宁卫生信息平台,E07.051,降钙素分泌过多,E07.000,降钙素分泌过多,
,南京江宁卫生信息平台,C18.601,降结肠恶性肿瘤,C18.600,降结肠恶性肿瘤,
,南京江宁卫生信息平台,D12.401,降结肠良性肿瘤,D12.400,降结肠良性肿瘤,
,南京江宁卫生信息平台,C18.801,降结肠乙状结肠恶性肿瘤,C18.801,降结肠乙状结肠恶性肿瘤,
,南京江宁卫生信息平台,T69.851,皲皮裂皮肤,T69.800,降温的其他特指效应,
,南京江宁卫生信息平台,T69.951,降温效应 NOS,T69.900,降温的效应,
,南京江宁卫生信息平台,I71.901,降主动脉动脉瘤,I71.902,降主动脉瘤,
,南京江宁卫生信息平台,C76.851,四肢深部恶性肿瘤,C76.800,交搭跨越恶性肿瘤的损害，其他和不明确部位的,
,南京江宁卫生信息平台,M89.095,交感反射性营养不良,M89.003,交感反射性营养不良,
,南京江宁卫生信息平台,H44.102,交感性眼炎,H44.103,交感性眼炎,
,南京江宁卫生信息平台,H44.151,交感性色素膜炎,H44.103,交感性眼炎,
,南京江宁卫生信息平台,I49.201,结性过早搏动[交界性过早搏动],I49.200,交界性过早除极,
,南京江宁卫生信息平台,I47.107,结性心动过速(交界性心动过速),I47.105,交界性心动过速,
,南京江宁卫生信息平台,H50.003,交替性内斜视,H50.002,交替性内斜视,
,南京江宁卫生信息平台,H50.103,交替性外斜视,H50.101,交替性外斜视,
,南京江宁卫生信息平台,Z04.151,交通事故后接受的检查和观察,Z04.100,交通事故后接受的检查和观察,
,南京江宁卫生信息平台,N94.854,努克管鞘膜积液,N94.804,交通性腹膜鞘突管积液,
,南京江宁卫生信息平台,G91.001,交通性脑积水,G91.000,交通性脑积水,
,南京江宁卫生信息平台,M35.905,胶原病(血管性) NOS,M35.902,胶原病,
,南京江宁卫生信息平台,F60.651,焦虑[回避]型人格障碍,F60.600,焦虑［回避］型人格障碍,
,南京江宁卫生信息平台,F41.101,焦虑型神经官能症,F41.102,焦虑性神经症,
,南京江宁卫生信息平台,F41.201,焦虑性抑郁症,F41.201,焦虑性抑郁症,
,南京江宁卫生信息平台,F41.951,焦虑 NOS,F41.900,焦虑障碍,
,南京江宁卫生信息平台,F41.851,其他特指的焦虑障碍,F41.800,焦虑障碍，其他特指的,
,南京江宁卫生信息平台,F41.102,焦虑状态,F41.101,焦虑状态,
,南京江宁卫生信息平台,L85.801,角化棘皮瘤,L85.801,角化棘皮瘤,
,南京江宁卫生信息平台,H11.802,角结膜增生,H11.803,角结膜增生,
,南京江宁卫生信息平台,H17.801,角膜白斑,H17.801,角膜白斑,
,南京江宁卫生信息平台,H17.802,角膜斑翳(薄翳)[角膜翳],H17.803,角膜斑翳,
,南京江宁卫生信息平台,H17.851,干眼性角膜瘢痕,H17.901,角膜瘢痕,
,南京江宁卫生信息平台,H17.901,角膜瘢痕,H17.901,角膜瘢痕,
,南京江宁卫生信息平台,H18.401,角膜变性,H18.400,角膜变性,
,南京江宁卫生信息平台,H18.402,角膜带状变性,H18.400,角膜变性,
,南京江宁卫生信息平台,H18.403,角膜角化病,H18.400,角膜变性,
,南京江宁卫生信息平台,H18.404,角膜软化,H18.400,角膜变性,
,南京江宁卫生信息平台,H18.451,变性性角膜混浊,H18.400,角膜变性,
,南京江宁卫生信息平台,H18.452,哈索尔-亨利小体或疣(角膜的),H18.400,角膜变性,
,南京江宁卫生信息平台,H18.501,家族性遗传性角膜变性,H18.400,角膜变性,
,南京江宁卫生信息平台,S05.052,角膜擦伤,S05.001,角膜擦伤,
,南京江宁卫生信息平台,H18.351,特塞梅特膜破裂,H18.300,角膜层改变,
,南京江宁卫生信息平台,H18.352,特塞梅特膜绉折,H18.300,角膜层改变,
